"","Evento","Tiempo","Estatus","Cola","Último Evento","Hora","A","D","Clientes","Retraso","Área Q(t)","Área B(t)","Servidor","1ro","2do","3ro","4to"
"","Inicio","0","0","0","0","0","4.55","Inf","0","0","0","0","0","0","0","0","0"
"","Llegada","4.55","1","0","4.55","4.55","6.01","9.1","1","0","0","0","4.55","0","0","0","0"
"","Llegada","6.01","1","1","6.01","6.01","11.91","9.1","1","0","0","1.46","4.55","6.01","0","0","0"
"","Salida","9.1","1","0","9.1","9.1","11.91","10.56","2","3.09","3.09","4.55","0","0","0","0","0"
"","Salida","10.56","0","0","10.56","10.56","11.91","Inf","2","3.09","3.09","6.01","0","0","0","0","0"
"","Llegada","11.91","1","0","11.91","11.91","33.92","17.81","3","3.09","3.09","6.01","11.91","0","0","0","0"
"","Salida","17.81","0","0","17.81","17.81","33.92","Inf","3","3.09","3.09","11.91","0","0","0","0","0"
"","Llegada","33.92","1","0","33.92","33.92","39.54","55.93","4","3.09","3.09","11.91","33.92","0","0","0","0"
"","Llegada","39.54","1","1","39.54","39.54","58","55.93","4","3.09","3.09","17.53","33.92","39.54","0","0","0"
"","Salida","55.93","1","0","55.93","55.93","58","61.55","5","19.48","19.48","33.92","0","0","0","0","0"
"","Llegada","58","1","1","58","58","72.03","61.55","5","19.48","19.48","35.99","0","58","0","0","0"
"","Salida","61.55","1","0","61.55","61.55","72.03","80.01","6","23.03","23.03","39.54","0","0","0","0","0"
